code,title,section,class,subclass,group,main_group
115388,140693,2,12.0,14,1.0,45.0
222370,110427,7,1.0,11,4.0,56.0
117137,57870,2,12.0,20,114.0,13026.0
144832,163539,5,2.0,13,15.0,8.0
57805,95358,1,32.0,1,25.0,16.0
47068,23091,1,25.0,3,2209.0,0.0
71198,44468,1,62.0,2,1.0,4.0
109941,118862,2,10.0,11,2211.0,6.0
111599,135538,2,12.0,12,15.0,8298.0
260416,77422,8,10.0,17,83.0,9362.0
221607,198386,7,1.0,10,39.0,2409.0
62034,12888,1,60.0,1,2360.0,147.0
132159,133107,4,3.0,1,7.0,75.0
189647,35681,6,5.0,1,2219.0,39554.0
159294,106481,5,23.0,3,11.0,16.0
173624,12984,6,1.0,12,2800.0,166.0
72302,48694,1,62.0,11,9.0,134.0
56802,208690,1,31.0,3,1.0,87.0
159667,49834,5,23.0,6,2204.0,203.0
212403,176012,7,1.0,10,21.0,7605.0
175491,136028,6,1.0,15,33.0,35.0
163669,90800,5,25.0,8,2270.0,904.0
122904,212804,2,23.0,2,14.0,545.0
20116,23925,0,61.0,7,2209.0,0.0
170486,77771,6,1.0,11,13.0,25.0
38208,112615,1,5.0,3,1.0,26.0
54501,148591,1,29.0,3,2030.0,44.0
192799,186064,6,5.0,6,15.0,5.0
158669,208640,5,22.0,1,21.0,343.0
88746,162574,2,3.0,1,19.0,1415.0
184487,41288,6,5.0,1,2219.0,15003.0
22003,93756,0,61.0,9,49.0,8.0
238840,176447,7,4.0,12,21.0,234381.0
17866,145704,0,61.0,5,2007.0,3.0
12402,179740,0,47.0,10,15.0,485.0
130752,110907,4,1.0,2,7.0,10.0
5970,6866,0,24.0,5,40.0,90.0
207671,77776,7,1.0,7,2229.0,18.0
6957,170023,0,43.0,1,23.0,81.0
7546,222527,0,44.0,1,11.0,65.0
61163,97881,1,43.0,9,19.0,10.0
79992,221168,1,65.0,6,35.0,5.0
221865,160234,7,1.0,10,51.0,71.0
31343,128875,1,1.0,3,33.0,6.0
85566,77071,1,68.0,1,5.0,4.0
140722,148951,5,1.0,11,5.0,1.0
70920,95027,1,62.0,1,2203.0,13.0
252762,104716,8,10.0,17,16.0,444.0
139505,158939,5,1.0,1,3.0,47.0
212144,22556,7,1.0,10,21.0,3205.0
39789,48454,1,21.0,2,51.0,0.0
207656,124007,7,1.0,7,2227.0,261.0
215109,46482,7,1.0,10,2224.0,37449.0
225998,100456,7,2.0,7,7.0,28.0
54786,66464,1,29.0,3,30.0,56.0
259795,85427,8,10.0,17,83.0,4664.0
139195,70438,4,21.0,3,8.0,0.0
44684,210005,1,23.0,9,3.0,23.0
242134,37072,7,5.0,1,2203.0,36.0
248099,63323,8,10.0,16,415.0,911.0
121939,198494,2,21.0,3,8.0,205.0
28526,162844,0,63.0,5,2009.0,687.0
115554,53747,2,12.0,14,2522.0,10.0
65976,173034,1,60.0,12,2.0,856.0
195684,6162,6,6.0,5,9.0,44.0
198268,179463,6,7.0,2,2009.0,436.0
107757,108585,2,9.0,9,8.0,508.0
21519,48787,0,61.0,9,38.0,34.0
253523,72172,8,10.0,17,24.0,3492.0
67709,16569,1,60.0,15,2325.0,20.0
38120,118076,1,5.0,2,3.0,2.0
84677,135526,1,66.0,5,9.0,7509.0
7206,180907,0,43.0,2,11.0,1426.0
175856,122263,6,1.0,16,13.0,10.0
176478,60373,6,1.0,16,5.0,26.0
